delivery_id,customer_id,deliveryman_id,vehicle_type,pickup_place,place_category,item_name,item_quantity,item_category_name,how_long_it_took_to_order,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,when_the_delivery_started,when_the_deliveryman_arrived_at_pickup,when_the_deliveryman_left_pickup,when_the_deliveryman_arrived_at_dropoff
1332793,104167,83565,bicycle,El Toro Blanco,Mexican,,,,0:07:00,40.72899672,-74.00280958,40.7460604,-73.9946738,0:08:02,0:40:04,0:44:40,0:54:15
1489527,49034,34669,bicycle,The Smile,American,Spaghetti & Tomato Sauce,1,Entrees,0:30:57,40.72641318,-73.99382114,40.7247072,-73.981175,0:06:57,,,0:12:19
1302973,344631,64396,bicycle,Mighty Quinn's BBQ,BBQ,Spare Ribs,1,Meats,,40.72751895,-73.9886713,40.72548568,-73.99281882,0:47:29,0:50:42,0:23:54,0:34:18
1313076,208020,94865,bicycle,Hill Country Barbecue Market,BBQ,Healthy Market Special,1,Market Lunch Specials (12-5pm),0:05:59,40.74434085,-73.99042638,40.7470189,-73.99092197,0:55:05,0:09:48,0:29:09,0:34:25
1414562,315523,134198,bicycle,Magnolia Bakery,Dessert,Red Velvet Cupcake,4,Specialty Cupcakes,,40.73589287,-74.00520444,40.70594389,-74.01057778,0:15:33,0:19:29,0:37:48,0:04:07
1307518,127689,155879,car,Peacefood Cafe,Vegan,Tempeh,1,Extras,0:06:33,40.78516004,-73.97691647,40.70339422,-74.0141069,0:02:01,0:26:57,0:35:18,0:09:31
1274468,95986,151467,bicycle,McDonald's,Fast Food,,,,,40.77793967,-73.95470974,40.7843365,-73.9539073,0:17:52,0:18:54,0:34:10,0:42:51
1460242,300021,117686,car,Han Bat,Korean,21. Soon Dae,1,Main Dishes,0:06:10,40.7502053,-73.98643204,40.7814599,-73.9806864,0:50:53,0:18:03,0:31:23,0:07:21
1324131,334758,90681,bicycle,Melt Shop,American,Cheesy Tots,1,Sides & Snacks,0:08:50,40.74460714,-73.99074197,40.7633199,-73.9938087,0:32:44,0:32:18,0:51:09,0:03:53
1416277,113897,20962,walker,Magnolia Bakery,Dessert,Peanut Butter Toffee Bar,1,Brownies & Bars,,40.77576432,-73.98020625,40.780052,-73.956166,0:44:51,0:49:55,0:04:45,0:17:33
1413356,78465,158227,bicycle,Duane Reade,Drug Store,,,,,40.74287573,-73.99256124,40.7425062,-73.9925644,0:08:40,,,0:27:56
1356218,128224,99219,bicycle,Osteria Morini,Italian,Garganelli,1,Pasta,,40.72195256,-73.997737,40.7167197,-74.0122998,0:00:38,0:01:53,0:30:03,0:40:49
1320596,368663,125504,bicycle,Shake Shack,Burger,Shack-cago Dog,1,Flat-Top Dogs,,40.78082577,-73.97648335,40.801488,-73.96969,0:53:52,0:59:18,0:14:43,0:23:52
1370431,58898,142140,car,Whole Foods Market,Grocery Store,Org Tortilla Chips Blue Corn Lightly Salted,1,Tortilla Chips,,40.723955,-73.991829,40.7299536,-73.9863498,0:10:14,,,0:33:43
1488027,396432,99219,bicycle,Juice Press,Juice Bar,Rehab Shot,2,Other Beverages,,40.72594802,-74.00110622,40.718659,-74.002854,0:36:14,0:36:59,0:55:49,0:05:27
1360308,57174,61900,bicycle,Umami Burger,Burger,,,,0:02:40,40.7344458,-73.99871349,40.72095627,-73.99928135,0:32:50,0:04:38,0:14:28,0:24:02
1459871,391543,7833,bicycle,Friedman's Lunch,Breakfast,Sweet Potato Fries,1,Market Sides,0:09:20,40.74268064,-74.00623583,40.74012562,-74.00468661,0:14:30,0:30:04,0:41:54,0:47:32
1419674,81591,96818,bicycle,The Grey Dog - University,Coffee,Three Eggs Any Style,1,Breakfast,0:07:41,40.73378729,-73.99303526,40.74427388,-73.98045875,0:05:55,0:18:07,0:34:28,0:50:49
1315209,55478,118095,bicycle,Tevere 84,,,,,0:04:50,40.77803525,-73.95603567,40.732552,-73.996537,0:18:33,0:57:06,0:27:38,0:22:02
1282272,97991,72941,bicycle,Blue Ribbon Sushi Bar & Grill,Japanese,Unagi,1,Taiseyo (Atlantic Ocean),0:10:22,40.76765291,-73.98292546,40.74882755,-73.99013895,0:02:41,0:11:48,0:28:01,0:45:09
1409389,305905,110399,bicycle,Hale & Hearty,Salad,Cream of Tomato w/ Chicken and Orzo,1,Daily Soup and Sandwich Combo,,40.74206208,-74.00518058,40.75826488,-74.00432979,0:46:44,0:52:20,0:05:09,0:12:01
1453949,398009,157353,car,Artichoke Basille's Pizza & Bar,Pizza,Sicilian Pizza Wedge,2,Pizza Wedge,0:09:44,40.743982,-74.006678,40.784503,-73.9789114,0:18:58,0:41:53,0:56:44,0:26:01
1467996,301380,142394,bicycle,ilili Restaurant,Middle Eastern,Hommus,1,Dips,0:05:17,40.74418795,-73.98753094,40.734994,-73.987709,0:18:37,0:30:46,0:46:07,0:57:18
1307096,242203,122837,bicycle,Whole Foods Market,Grocery Store,,,,,40.71564047,-74.01235355,40.7188368,-74.0026667,0:56:08,0:26:02,0:46:52,0:55:20
1416984,6210,20962,walker,Tulsi Restaurant,Indian,,,,,40.75325542,-73.97201503,40.759818,-73.98764,0:58:18,0:59:29,0:16:19,0:36:01
1314550,348787,119813,bicycle,Otto Enoteca Pizzeria,Italian,Lentils “Toscana”,1,Vegetables,0:22:43,40.73206376,-73.99615467,40.76758179,-73.98370418,0:40:39,0:49:50,0:27:59,0:55:57
1309391,275689,20217,car,Nobu Next Door,Sushi,Bigeye Tuna Roll,1,Dinner Sushi Rolls,0:07:18,40.71938641,-74.0086925,40.7202117,-74.0021308,0:06:02,,,0:05:05
1354092,93350,143085,car,Hale & Hearty,Salad,Chicken Vegetable,1,Daily Soups,,40.74206208,-74.00518058,40.754856,-74.000265,0:06:27,0:20:45,0:37:47,0:50:11
1274946,214394,28765,bicycle,Yama Japanese Restaurant,Japanese,Edamame,1,Appetizers,0:06:34,40.73587229,-73.98766462,40.7323623,-73.9871248,0:27:11,0:36:07,0:54:01,0:09:20
1432690,110060,167596,bicycle,sweetgreen,Salad,,,,,40.74507859,-73.98882151,40.7519839,-73.9947989,0:52:08,0:05:33,0:18:01,0:28:59
1325557,180921,30905,car,Barbounia,Mediterranean,Wild Mushroom Cavatelli,1,Fresh Pasta,0:09:00,40.73823004,-73.98783237,40.767409,-73.968239,0:55:14,0:09:47,0:24:36,0:38:02
1415905,129798,91932,bicycle,Grom,,,,,0:02:22,40.76752835,-73.98204736,40.7837169,-73.9835052,0:09:55,0:24:40,0:32:30,0:50:14
1347595,115610,153766,bicycle,Duane Reade,Drug Store,,,,,40.71951802,-74.01044011,40.72357217,-74.01085812,0:34:05,0:40:51,0:52:43,0:59:27
1328760,370889,116438,bicycle,Popeyes Louisiana Kitchen,Fast Food,,,,,40.75582378,-73.9896344,40.7520354,-74.0052865,0:25:03,0:31:57,0:46:16,0:56:04
1272824,284087,23359,bicycle,Smiler's,,,,,,40.76046828,-73.97395496,40.760557,-73.972888,0:34:40,,,0:19:02
1303916,115610,67430,bicycle,Sant Ambroeus,Italian,,,,0:13:11,40.73548668,-74.0033213,40.72357217,-74.01085812,0:04:54,0:27:18,0:34:39,0:48:25
1379189,47440,112646,bicycle,Bareburger,Burger,Barest Burger,1,Bareburgers,0:06:25,40.72847826,-73.99839184,40.7151704,-74.0116009,0:54:08,0:57:54,0:08:40,0:23:15
1407506,187993,102837,car,sweetgreen,Salad,Harvest Bowl,1,Signatures,,40.72132319,-74.00973201,40.714136,-73.991496,0:19:27,0:22:54,0:39:58,0:02:48
1320822,149508,43955,bicycle,Shake Shack,Burger,Cheese Fries,1,Fries,,40.71527933,-74.01486039,40.716168,-74.003693,0:18:12,0:28:15,0:47:35,0:54:37
1413590,47594,104989,bicycle,California Pizza Kitchen,Pizza,Sesame Ginger Chicken Dumplings,1,Appetizers,0:05:11,40.74466624,-73.98334441,40.780774,-73.9542921,0:41:41,0:44:50,0:56:41,0:29:12
1322133,49104,156557,car,Empanada Mama (closed),Mexican,Reggaeton,1,Wheat Flour,0:05:35,40.764217,-73.988321,40.74789673,-74.00360827,0:10:10,0:21:07,0:33:26,0:42:18
1369431,115213,101359,bicycle,Tamarind TriBeCa,Indian,Steamed Basmati Rice,1,Basmati Degh Rice,0:04:37,40.71926893,-74.00874988,40.7165905,-74.0048114,0:27:21,,,0:24:37
1416028,129486,161162,bicycle,Mamoun's Falafel,Mediterranean,Veggie Sandwich Combo,1,Veggie Combo,,40.730178,-74.0003224,40.73068744,-73.99517798,0:24:27,0:27:39,0:43:00,0:50:39
1407558,41130,99219,bicycle,Village Yogurt,,,,,,40.737888,-73.99646,40.722746,-73.998857,0:34:28,0:35:39,0:45:29,0:55:04
1440400,114085,30743,bicycle,Blue Ribbon Sushi Bar & Grill,Japanese,Ebi Shumai,1,Appetizers,0:06:30,40.76765291,-73.98292546,40.764469,-73.974488,0:56:56,0:15:39,0:31:28,0:39:48
1387545,91947,30743,bicycle,Juice Generation,Juice Bar,Cold Warrior,1,Juice Farmacy,,40.76447214,-73.96643043,40.7666878,-73.9686943,0:14:44,0:28:26,0:41:03,0:44:18
1365392,41415,142301,bicycle,Clinton St. Baking Co. & Restaurant,,Pancakes with Warm Maple Butter,1,Brunch,0:03:54,40.721294,-73.983994,40.7431395,-73.9969043,0:34:45,0:34:18,0:54:09,0:07:51
1401304,68116,67103,truck,Blue Ribbon Sushi Izakaya,Japanese,Rock Shrimp & Crispy Garlic Teriyaki,1,Kushi Yaki (Skewers),0:08:14,40.72197958,-73.98814821,40.72999941,-73.9936877,0:30:31,0:47:48,0:01:10,0:22:13
1399094,162723,57186,bicycle,"Dessert Club, ChikaLicious (archived)",,,,,,40.72965658,-73.98634596,40.765386,-73.978957,0:27:39,0:51:44,0:07:34,0:36:31
1296092,96254,111793,car,Yama Japanese Restaurant,Japanese,Spicy Tuna,1,Rolls,0:06:24,40.73587229,-73.98766462,40.736616,-73.9779726,0:54:42,0:00:22,0:17:12,0:28:38
1389988,111356,149651,bicycle,sweetgreen,Salad,Roasted Turkey + Fall Vegetables,1,Signatures,,40.74507859,-73.98882151,40.7443135,-73.9873139,0:35:49,,,0:56:38
1410753,83287,54954,bicycle,Five Guys Burgers and Fries,Burger,Cheeseburger,1,Burgers,,40.73236829,-74.00374889,40.7226793,-73.9949382,0:14:45,0:18:42,0:37:16,0:45:42
1339653,186478,144719,bicycle,Trader Joe's,Grocery Store,Tomato Pesto Flatbread,1,Frozen Foods,,40.74174,-73.99365,40.737848,-74.003611,0:53:28,0:01:32,0:24:54,0:32:46
1275526,303211,31859,bicycle,Hale & Hearty,Salad,Dirty Chips Lightly Salted,1,Desserts and Chips,,40.78601712,-73.97847183,40.7938339,-73.941521,0:34:45,0:34:30,0:43:52,0:00:33
1414452,148033,128139,car,Shake Shack,Burger,,,,,40.68277,-73.976532,40.6932564,-73.9661733,0:57:29,0:30:02,0:31:21,0:37:44
1458106,104983,152741,car,Fairway Market,,,,,,40.77837362,-73.95255723,40.7769199,-73.958928,0:00:58,0:01:37,0:44:57,0:54:36
1483976,397737,178325,bicycle,Serafina at Time Hotel,,,,,,40.76153905,-73.98514649,40.76110045,-73.99921887,0:56:42,,,0:43:27
1325129,41991,108647,bicycle,Blue Ribbon Sushi Bar & Grill,Japanese,Tamago,1,Taiheiyo (Pacific Ocean),0:12:21,40.76765291,-73.98292546,40.763269,-73.963113,0:01:44,0:23:34,0:38:54,0:49:00
1439884,103822,134198,bicycle,Luke's Lobster,Seafood,Lobster Roll,1,Rolls,0:06:02,40.726823,-73.98547098,40.7460604,-73.9946738,0:08:47,0:18:22,0:26:13,0:44:22
1366592,348130,102837,car,Whole Foods Market,Grocery Store,Iced Tea Peach Mango Zero Calorie,2,Teas & Drinks,,40.723955,-73.991829,40.7186834,-73.983136,0:38:28,0:15:33,0:54:54,0:03:21
1397309,103884,151208,bicycle,S'MAC,American,Buffalo Chicken,1,Sarita's Recommendation,,40.73034018,-73.98399353,40.76317134,-73.96635932,0:48:30,0:57:06,0:34:55,0:15:46
1460699,103627,170291,bicycle,Whole Foods Market,Grocery Store,Creme Fraiche,1,Cheese,,40.6753166,-73.9885326,40.698193,-73.984208,0:26:54,0:30:05,0:00:23,0:25:27
1399321,97938,3296,bicycle,Crif Dogs,,Spicy Redneck,1,Crif Dogs,,40.717006,-73.956565,40.7205817,-73.9623624,0:46:43,0:52:22,0:17:43,0:22:34
1390257,198677,28765,bicycle,Lure Fishbar,Seafood,Mascarpone Polenta,1,Dinner Sides,0:03:27,40.72463457,-73.99840236,40.7677253,-73.9915642,0:11:51,0:10:12,0:37:32,0:13:41
1480763,358057,118095,bicycle,sweetgreen,Salad,Salad,1,Make Your Own,0:06:37,40.72132319,-74.00973201,40.7028942,-73.98553846,0:57:33,0:12:14,0:28:33,0:58:44
1420966,122609,28765,bicycle,Blue Ribbon Sushi,Japanese,Spicy Tuna & Tempura Flakes,1,Maki (Special Rolls),0:10:16,40.72610966,-74.00249186,40.7093232,-74.0158665,0:03:34,0:10:10,0:22:33,0:37:03
1286764,141596,139444,bicycle,Peacefood Cafe,Vegan,Pan-seared French Horn Mushrooms,1,Panini,0:15:44,40.78516004,-73.97691647,40.800023,-73.971317,0:06:44,0:10:21,0:42:37,0:54:58
1458041,129518,108006,bicycle,The Grey Dog  - Chelsea,Coffee,Village Pancakes,1,Breakfast,0:06:14,40.740784,-74.000721,40.73357,-74.0065899,0:55:39,0:05:26,0:19:49,0:30:12
1402861,135879,147789,car,Eva's Kitchen,Mediterranean,,,,,40.73260867,-73.99726131,40.7190176,-73.9855386,0:56:05,0:04:39,0:27:59,0:49:22
1294429,328864,111793,car,Pies 'n' Thighs,,Fried Chicken Sandwich,1,Dinner Entrees,0:02:00,40.71125525,-73.96144262,40.701183,-73.928499,0:13:04,0:13:07,0:30:58,0:46:19
1435631,91981,104111,bicycle,Roast Kitchen,,,,,0:03:55,40.757005,-73.976151,40.75504646,-73.97146172,0:36:31,0:40:22,0:05:13,0:14:46
1375520,81605,91735,bicycle,Veselka,Russian,Soft Drink,1,Beverages,0:05:28,40.72913623,-73.98697151,40.7363529,-73.9843794,0:45:18,0:53:00,0:00:57,0:11:10
1314550,348787,119813,bicycle,Otto Enoteca Pizzeria,Italian,Prosciutto Arugula,1,Pizzas,0:22:43,40.73206376,-73.99615467,40.76758179,-73.98370418,0:40:39,0:49:50,0:27:59,0:55:57
1287603,55334,39202,bicycle,Sushi of Gari Tribeca,Japanese,Tuna Of Gari,2,From Sushi Bar,0:06:18,40.71672576,-74.00825065,40.723324,-73.991335,0:15:12,0:14:17,0:40:07,0:56:18
1273784,39275,132725,bicycle,Potbelly Sandwich Shop,,,,,0:03:18,40.75765339,-73.97064903,40.7715363,-73.9506762,0:35:20,0:36:28,0:46:51,0:04:27
1486025,200631,97695,car,Amy Ruth's,Southern,Fruit Juice,1,Beverages,0:08:09,40.80254961,-73.95023268,40.798558,-73.93488,0:45:51,0:28:40,0:37:13,0:47:23
1416043,133844,157415,car,Parm,Italian,House Roasted Turkey,1,Sandwiches,0:02:11,40.72301983,-73.995854,40.71882111,-73.98280562,0:23:43,0:28:32,0:33:24,0:50:59
1468364,400527,105427,bicycle,Katz's Delicatessen,,Matzo Ball Soup,1,Soups,,40.72230707,-73.98735166,40.7235314,-73.9823242,0:36:30,0:49:34,0:05:47,0:13:29
1294451,148459,150915,bicycle,The Kati Roll Company,Indian,Chicken Tikka Roll,1,Rolls,0:03:35,40.72951,-74.000865,40.7321662,-73.9886273,0:19:02,0:20:16,0:29:36,0:57:11
1355600,376824,102647,bicycle,Momofuku Milk Bar (archived),Dessert,B'day Cake Truffles,1,Cake Truffles,,40.72312831,-74.00206089,40.70732978,-74.00444433,0:59:31,0:58:34,0:21:25,0:34:47
1458715,173667,177847,bicycle,Whole Foods Market,Grocery Store,,,,,40.723955,-73.991829,40.71876068,-74.00253589,0:45:26,0:42:49,0:09:40,0:25:01
1466413,9666,147300,bicycle,Morton Williams Supermarket,,,,,,40.76878971,-73.9852211,40.7672065,-73.9841974,0:00:24,0:12:32,0:46:23,0:53:17
1356657,92806,3296,bicycle,The Mercer Kitchen,,Steamed Skate,1,Lunch/Dinner (Entree),0:06:34,40.72474364,-73.99866156,40.7244144,-73.9913664,0:06:38,0:11:23,0:41:45,0:47:39
1312898,118662,62487,car,The Prime Grill,,,,,,40.7613,-73.97307,40.702534,-74.013126,0:05:12,0:25:35,0:32:24,0:02:28
1280978,334758,90681,bicycle,Melt Shop,American,Maple Bacon,1,Sandwiches,0:15:42,40.74460714,-73.99074197,40.7633199,-73.9938087,0:41:35,0:48:09,0:58:51,0:10:08
1467907,400305,114820,bicycle,Momofuku Milk Bar,Dessert,Chocolate Chip Cake (6"),1,6" Cakes,,40.73179547,-73.98567259,40.7374716,-73.9922059,0:57:41,0:13:35,0:23:25,0:34:19
1482406,77011,110192,bicycle,Van Leeuwen Artisan Ice Cream,,,,,,40.72790505,-73.9877635,40.7483335,-73.9809404,0:50:03,0:47:43,0:06:34,0:26:38
1460008,77511,118659,walker,La Esquina Taqueria,,Moros Y Cristianos,1,Sides,0:01:45,40.72135375,-73.99752529,40.7320395,-73.9955607,0:28:50,0:10:22,0:18:44,0:28:39
1281672,101743,34804,truck,Candle Cafe West,Vegetarian,Market Plate,1,Market Plate,0:24:35,40.79039976,-73.97471256,40.72549499,-74.00971012,0:57:20,0:32:04,0:44:24,0:13:20
1333675,294140,137297,bicycle,Sushi Seki Chelsea,Sushi,,,,0:17:40,40.74437,-73.99628,40.73907993,-73.99360643,0:33:54,0:48:23,0:19:44,0:25:34
1332534,74604,140684,bicycle,Siggy's Good Food,,,,,,40.7247545,-73.9931457,40.7434935,-73.9918672,0:42:04,,,0:58:06
1469623,400766,143085,car,The Meatball Shop,Italian,Vegetable,1,Naked Balls,0:06:10,40.77149125,-73.95633415,40.8089292,-73.9613646,0:40:27,0:49:22,0:17:28,0:45:26
1466071,356195,142394,bicycle,Blue Ribbon Fried Chicken,American,The Rancher,1,Sandwiches,,40.72434,-73.99096,40.72139026,-73.99344086,0:03:23,0:19:36,0:34:57,0:39:14
1409918,370405,124514,bicycle,Haveli Indian Restaurant,Indian,Shahi Korma,1,Traditional Dishes,0:03:51,40.7271708,-73.9885098,40.741234,-74.000565,0:37:56,0:40:37,0:02:27,0:17:36
1356155,376993,133293,bicycle,Emporio,Italian,Spicy Sopressata,1,Pizza,0:10:48,40.72263479,-73.99535031,40.72413127,-73.99993035,0:46:41,0:47:43,0:10:03,0:21:25
1483068,141912,53095,bicycle,P.J. Clarke's,American,Mini Cheeseburgers & Fries,1,P.J. Clarke's Hamburgers,0:20:52,40.77196187,-73.98262024,40.7654964,-73.9631442,0:37:22,0:08:47,0:13:07,0:25:27
1300462,106940,64628,car,William Greenberg Desserts,,,,,,40.77844515,-73.96046686,40.7436173,-74.0064004,0:11:15,0:14:50,0:38:40,0:48:17
1336706,102801,118095,bicycle,Artichoke Basille’s Pizza & Brewery,Pizza,Bottled Water,2,Beverages,0:19:28,40.73184425,-73.98386478,40.71451748,-74.00701908,0:37:57,0:31:11,0:42:30,0:03:41
1424346,373485,124897,bicycle,sweetgreen,Salad,Earth Bowl,1,Signatures,0:07:29,40.72132319,-74.00973201,40.7297282,-74.0047685,0:38:15,0:47:23,0:56:54,0:08:21
1336187,297130,157975,bicycle,Blue Ribbon Sushi,Japanese,King Crab,1,Taiheiyo (Pacific Ocean),0:04:27,40.72610966,-74.00249186,40.735797,-74.000366,0:40:44,0:48:58,0:09:32,0:17:01
1275149,100778,57186,bicycle,The Meatball Shop,Italian,Rigatoni,1,Stick To Your Bones,0:03:20,40.74596311,-74.00169729,40.757001,-73.9945429,0:51:46,0:17:42,0:22:32,0:33:16
1479832,60477,61900,bicycle,The Grey Dog - Mulberry,Coffee,Peanut Butter & Jelly,1,Michigan Sandwiches,0:05:57,40.723096,-73.995774,40.727405,-73.991802,0:26:21,0:28:33,0:46:52,0:54:52
1407296,166010,138061,car,Dylan's Candy Bar,,,,,,40.76215646,-73.9660918,40.7677253,-73.9915642,0:31:42,0:35:49,0:12:03,0:40:22
1418789,97079,39733,bicycle,Donburi-ya,Japanese,Jidori Katsu-Don,1,Donburi Dinner,0:04:18,40.75446491,-73.9731457,40.76460273,-73.98010481,0:03:51,0:13:42,0:35:02,0:45:42
1293078,168137,41408,car,Whole Foods Market,Grocery Store,Yogurt Raisins,1,Nuts & Trail Mix,,40.71564047,-74.01235355,40.71102151,-74.00568414,0:35:11,0:19:05,0:48:26,0:00:14
1365600,140521,43955,bicycle,sweetgreen,Salad,"Apples, Pears + Organic Cheddar",2,Signatures,0:09:09,40.72132319,-74.00973201,40.7246814,-73.9954465,0:18:24,0:51:08,0:04:28,0:15:00
1473172,72757,161082,bicycle,Liquiteria,Juice Bar,,,,,40.740761,-74.001793,40.7332693,-74.0021511,0:22:53,0:29:56,0:39:22,0:48:05
1295658,350083,81503,car,Sushi of Gari 46,Sushi,Yellowtail Sushi,2,Sushi,0:05:58,40.76065444,-73.98958275,40.7951002,-73.9655589,0:07:01,0:18:18,0:28:06,0:42:58
1349714,85633,81285,bicycle,The Meatball Shop,Italian,Classic Beef Hero,2,Heroes,0:06:10,40.77149125,-73.95633415,40.770701,-73.9808519,0:52:43,0:00:59,0:07:57,0:27:50
1366229,57464,143085,car,Momoya,Sushi,Salmon Crunch,1,Signature Roll,0:05:46,40.78407726,-73.97762241,40.7693655,-73.9896563,0:36:25,0:00:01,0:04:20,0:20:47
1356397,71906,20124,bicycle,Sushi Seki (archived),Japanese,,,,0:06:28,40.76183668,-73.96040372,40.737565,-74.00886,0:35:28,0:15:30,0:32:39,0:07:15
1467764,71825,66416,bicycle,sweetgreen,Salad,Earth Bowl,1,Signatures,0:02:48,40.72132319,-74.00973201,40.7204777,-74.0022118,0:27:53,0:25:41,0:57:27,0:14:19
1407878,108610,43955,bicycle,2nd Ave Deli,Deli,Grilled Chicken Breast,2,Poultry,0:03:40,40.74529931,-73.97913758,40.7557918,-73.9702492,0:46:52,0:04:23,0:19:13,0:26:12
1302758,318951,8625,bicycle,Sushi by Gari (archived),,Spicy Tuna,2,Maki Sushi (Hand Roll),0:11:40,40.771393,-73.952761,40.7560235,-73.9639961,0:27:13,0:40:37,0:59:57,0:11:30
1448376,359568,152741,car,Maison Ladurée,Dessert,Chocolat,1,Macaroons (Individual),,40.77067423,-73.96611476,40.7731091,-73.9592289,0:23:47,0:26:59,0:43:49,0:49:59
1328988,255435,144384,bicycle,Lure Fishbar,Seafood,Organic Farro Salad,1,Lunch Soups & Salads,0:06:01,40.72463457,-73.99840236,40.7435682,-73.9724053,0:49:32,0:54:59,0:15:19,0:34:21
1386459,331143,104533,bicycle,Waverly Diner,American,Jalapeño Poppers,2,Appetizers & Finger Foods,0:06:38,40.73301222,-74.00005605,40.732486,-73.996585,0:14:30,0:36:13,0:52:08,0:55:43
1362953,126204,104989,bicycle,Pio Pio,South American,Ensalada de Avocado,1,La Primaveras,0:05:23,40.74551114,-73.97760519,40.7644118,-73.9639728,0:07:36,0:28:11,0:40:32,0:55:38
1272470,270525,112646,bicycle,Egg Shop,Breakfast,,,,,40.720373,-73.994918,40.7181299,-74.002629,0:10:11,0:13:52,0:29:13,0:38:14
1367807,322162,119794,bicycle,The Meatball Shop,Italian,Spicy Pork,1,Naked Balls,0:05:58,40.77149125,-73.95633415,40.7638848,-73.9707834,0:51:31,0:00:48,0:40:25,0:58:41
1441866,71386,118093,scooter,Vezzo Thin Crust Pizza,Italian,Parma,1,House Pies,0:03:27,40.74448928,-73.98132205,40.7720342,-73.9814275,0:50:39,0:49:39,0:03:59,0:20:58
1302574,113897,46760,car,Momofuku Milk Bar,Dessert,Cornflake Marshmallow Chocolate Chip Cookie,1,Cookies,,40.7871496,-73.97172231,40.780052,-73.956166,0:07:05,0:26:22,0:44:42,0:55:17
1456246,121706,164384,car,French Roast,French,Croissant,2,From the Bakery,0:08:09,40.78761311,-73.97712309,40.756804,-73.9981532,0:22:12,0:19:12,0:24:32,0:48:30
1413712,367800,43955,bicycle,sweetgreen,Salad,Organic Butternut Squash (Big),1,Soup,0:06:54,40.74507859,-73.98882151,40.7589426,-73.9793564,0:09:29,0:13:19,0:39:09,0:52:25
1309233,60703,58695,bicycle,Cafe Habana,Mexican,Grilled Chicken Cutlet,1,Entrees,0:03:21,40.7228417,-73.99411647,40.737149,-73.979189,0:42:41,0:48:17,0:55:38,0:15:30
1294826,361521,111793,car,Blue Ribbon Fried Chicken,American,Unsweetened Iced Tea,2,Drinks,,40.72434,-73.99096,40.7410476,-73.984867,0:17:00,0:18:08,0:44:04,0:54:17
1302571,295442,137297,bicycle,Luke's Lobster,Seafood,Kettle Chips,1,Extras,,40.78424996,-73.97776008,40.8010649,-73.9480097,0:10:07,0:24:55,0:46:18,0:51:03
1299559,148327,118093,scooter,Shake Shack,Burger,Fries,1,Fries,,40.69214641,-73.98886538,40.70197191,-73.98703636,0:30:23,0:07:23,0:26:13,0:35:38
1338571,62929,30743,bicycle,Bareburger,Burger,Barest Burger,1,Bareburgers,0:06:55,40.72847826,-73.99839184,40.721723,-74.004688,0:34:21,0:40:20,0:52:58,0:58:50
1461185,363561,175485,bicycle,Shake Shack,Burger,Hamburger,1,Burgers,,40.78082577,-73.97648335,40.7894893,-73.9749716,0:05:45,0:12:17,0:37:16,0:48:33
1461620,141918,125358,bicycle,S'MAC,American,Brownies,1,Sides,,40.73034018,-73.98399353,40.740336,-73.999214,0:33:13,0:32:32,0:03:22,0:16:05
